name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Malvin,Unknown nationality,Alive,Male,NA,NS 5,NS 5,White Tower,NA,Under-lieutenant,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Managan,Malkier,Alive,Male,Lean,KOD 20,TOM 23,Lan Mandragoran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Manal,Cairhienin,Alive,Male,NA,LOC 54,LOC 54,NA,NA,NA,NA,LOC 54,LOC 54,NA,NA,NA,Gray,NA,Boatmen,NA,NA,NA,NA,NA,NA,NA
Eliris Mancuri den Rhomin,Illianer,Alive,Male,NA,CCG,CCG,Council of Nine,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bili Mandair,Unknown nationality,Alive,Male,NA,NA,NA,NA,NA,NA,NA,NS 6,NS 6,978 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandein,Aiel,Dead,Male,NA,TSR 25,TSR 25,NA,Sept Chief,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aiel,NA,NA,NA,NA,NA,NA
Mandelain,Aiel,Alive,Male,NA,ACOS 18,ACOS 18,Car'a'carn,NA,NA,NA,TFOH 2,ACOS 33,NA,NA,NA,Balding,"6'5"" or 196cm",Clan chief,Daryne,Broken Cliff,NA,NA,NA,NA,NA
Manderic,Aiel,Dead,Male,NA,TSR 23,TFOH 44,Shaido,NA,NA,1000 NE,NA,TOM 19,NA,NA,NA,NA,Tall,Warrior,Shaido,NA,NA,NA,NA,NA,NA
Mandhuin,Aiel,Alive,Male,Heavyset,TSR 57,TSR 57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Goshien,Unknown sept,Unknown society,NA,NA,NA,NA
Al'Akir Mandragoran,Malkier,Dead,Male,NA,NA,NA,NA,King of Malkier,King,NA,NS 15,AMOL 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lan Mandragoran,Malkieri,Alive,Male,Muscular,NS 1,AMOL Epilogue,NA,"Lord of the Seven Towers, Lord of the Lakes, True Blade of Malkier, Defender of the Wall of First Fires, Bearer of the Sword of the Thousand Lakes. Dai Shan, King of Malkier, Aan'allein",NA,NA,NA,NA,953 NE,Blue,NA,"Dark, graying","6' 5.5"" or 197cm",Warder,NA,NA,NA,NA,NA,NA,NA
Lain Mandragoran,Malkier,Dead,Male,NA,NA,NA,NA,Lord,NA,NA,TEOTW 47,TGH 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maric Mandragoran,Malkieri,Foreseen,Male,NA,TGH 23,TGH 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karldin Manfor,Andoran,Dead,Male,NA,ACOS 2,AMOL 37,The Dragon Reborn,NA,Asha'man,NA,NA,NA,NA,NA,NA,Pale,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA
Mangin,Aiel,Dead,Male,NA,TSR 7,LOC 17,Car'a'carn,NA,NA,999 NE,NA,LOC 24,NA,Gray,NA,NA,Tall,NA,Taardad,Jindo,Shae'en M'taal,NA,NA,NA,NA
Perival Mantear,Andoran,Alive,Male,NA,COT 13,AMOL 2,House Trakand,Lord,High Seat,NA,NA,NA,988 NE,NA,NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lothair Mantelar,Unknown nationality,Dead,Male,NA,NA,NA,Children of the Light,NA,NA,NA,TSR 17,TOM 40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mantual,Seanchan,Alive,Male,NA,KOD 34,KOD 34,Ever Victorious Army,NA,NA,NA,NA,KOD 34,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Jeorad Manyard,Andoran,Dead,Male,NA,NA,NA,Artur Paendrag Tanreall,Governor of the Province of Andor,Governor,NA,LOC Epilogue,LOC Epilogue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mar,Unknown nationality,Alive,Male,Lanky,LOC 40,AMOL Prologue,Band of the Red Hand,NA,Scout,NA,LOC 38,NA,NA,NA,NA,NA,Tall,Soldier,NA,NA,NA,NA,NA,NA,NA
Maraconn,Tairen,Dead,Male,NA,TFOH 46,TPOD 24,The Dragon Reborn,High Lord of Tear,NA,1000 NE,TSR 21,NA,NA,Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jailin Maran,Andoran,Alive,Male,NA,NA,NA,House Marne,NA,NA,NA,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Souran Maravaile,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,General,FY 1017,LOC 1,LOC 26,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Semaradrid Maravin,Cairhienin,Alive,Male,NA,LOC 4,TPOD 24,Dragon Reborn,Lord,NA,NA,NA,NA,NA,Dark,NA,Gray at temples,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varan Marcasiev,Kandori,Alive,Male,NA,NA,NA,Kandor,Lord of Canluum,Lord,NA,NS 15,NS 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetre Marcolin,Illianer,Dead,Male,Stout,TPOD 13,TPOD 24,NA,NA,First Captain,1000 NE,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Mardry,Murandian,Alive,Male,NA,TGS 27,TGS 27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gambler,NA,NA,NA,NA,NA,NA,NA
Azil Mareed,Domani,Unknown (Presumed Dead),Male,NA,NA,NA,Tower Guard,High Captain of the Tower Guards,High Captain,NA,NS 2,NS 2,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Bukama Marenellin,Malkier,Dead,Male,NA,NS 1,NS 25,Lan Mandragoran,NA,Armsman,979 NE,NA,TOM 42,NA,Blue,NA,"Gray, shoulder length",Tall,Soldier,NA,NA,NA,NA,NA,NA,NA
Torhs Margin,Unknown nationality,Dead,Male,NA,NA,NA,NA,Torhs the Broken,NA,NA,TGS 37,TGS 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maric,Aiel,Alive,Male,NA,LOC 27,LOC 27,Car'a'carn,NA,NA,NA,NA,NA,NA,"Gray, cold",NA,NA,Very tall,NA,Unknown clan,Unknown sept,Unknown society,NA,NA,NA,NA
Marind,NA,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TSR 26,TSR 26,NA,NA,NA,NA,NA,NA,Da'shain Aiel,NA,NA,NA,NA,NA,NA
Maringil,Cairhienin,Dead,Male,Thin,TFOH 45,LOC 50,The Dragon Reborn,Lord,NA,999 NE,NA,COT Prologue,NA,NA,NA,"Shoulder-length, white",Tall,NA,NA,NA,NA,NA,NA,NA,NA
Marlesh,Unknown nationality,Alive,Male,Narrow,TGS 13,TGS 13,White Tower,Gaidin,NA,NA,NA,NA,NA,NA,NA,NA,Short,Warder,NA,NA,NA,NA,NA,NA,NA
Martan,Unknown nationality,Alive,Male,Strapping,NS 6,NS 6,NA,NA,NA,NA,NA,NA,NA,Brown,NA,NA,NA,Clerk,NA,NA,NA,NA,NA,NA,NA
Brannin Martan,Andoran,Alive,Male,NA,KOD 17,KOD 17,House Trakand,Lord,NA,NA,NA,KOD 32,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hu Marwin,Andoran,Alive,Male,NA,TSR 33,COT 8,Two Rivers,NA,NA,NA,NA,COT 25,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Teven Marwin,Andoran,Dead,Male,NA,NA,NA,Two Rivers,NA,NA,999 NE,TSR 40,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haren Maseed,Taraboner,Dead,Male,NA,NA,NA,Artur Hawkwing,Panarch of Tarabon,Panarch,NA,RPG,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrn sur Paendrag Mashera,Mayener,Dead,Male,NA,NA,NA,NA,First of Mayene,First Lord,FY 1054,RPG,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naorman Mashinta,Tar Valon,Alive,Male,NA,TGS 36,TGS 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cobbler,NA,NA,NA,NA,NA,NA,NA
Masic,Altaran,Dead,Male,NA,LOC 52,LOC 52,NA,NA,NA,NA,NA,LOC 52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jak Masond,NA,Alive,Male,NA,TPOD 22,TPOD 24,Dragon Reborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short,NA,NA,NA,NA,Stocky,NA,NA,NA
Masuto,Shienaran,Alive,Male,NA,TDR 2,TDR 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aedmun Matherin,Andoran,Alive,Male,NA,NA,NA,House Trakand,Lord,High Seat,NA,COT 10,COT 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matoun,Saldaean,Alive,Male,NA,NA,NA,Davram Bashere,NA,NA,NA,KOD 27,KOD 27,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Mavabwin,Cairhienin,Alive,Male,NA,TOM 50,TOM 50,Elayne Trakand,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balwen Mayel,Aridholin,Dead,Male,NA,NA,NA,NA,King of Aridhol,King,NA,TEOTW 19,TEOTW 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maynard,Tar Valon,NA,Male,Barrel-chested,NA,NA,NA,Gaidin,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,Warder,NA,NA,NA,NA,NA,NA,NA
Mazone,Unknown nationality,Dead,Male,NA,TOM 22,TOM 42,White Tower,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Barris Mecandes,Cairhienin,Alive,Male,NA,NA,NA,NA,Lord,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meciar,Aiel,Alive,Male,Bulky,TFOH 54,TFOH 54,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Cor Darei,NA,NA,NA,NA
Mehtan,Seanchan,Dead,Male,NA,KOD 12,KOD 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clerk,NA,NA,NA,NA,NA,NA,NA
Melarned,Domani,Alive,Male,Squat,TGS 10,TGS 10,Dragon Reborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Melten,Borderlander,Alive,Male,Lean,AMOL Prologue,AMOL Prologue,Band of the Red Hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Lawdrin Mendair,Unknown nationality,Dead,Male,NA,ACOS 37,ACOS 38,Band of the Red Hand,NA,Redarm,1000 NE,LOC 47,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Mendan,Aiel,Alive,Male,Broad,TPOD Prologue,TPOD Prologue,NA,NA,NA,NA,NA,NA,NA,Blue,NA,NA,NA,NA,Unknown clan,Unknown sept,Unknown society,NA,NA,NA,NA
Meilan Mendiana,Tairen,Dead,Male,Lean,TSR 8,LOC 53,The Dragon Reborn,High Lord of Tear,NA,999 NE,NA,NA,NA,Dark,NA,Gray,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Meneril,Cairhienin,Alive,Male,NA,LOC 4,LOC 4,The Dragon Reborn,Lord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merekel,Shienaran,Alive,Male,NA,TOM 23,TOM 23,Lan Mandragoran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Merk (farmer),Borderlander,Alive,Male,NA,TGS Prologue,TGS Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Merk the Giant,NA,Fictional character,Male,NA,NA,NA,NA,Merk the Giant,NA,NA,TSR 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Owyn Merrilin,Andoran,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TEOTW 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom Merrilin,Andoran,Alive,Male,NA,TEOTW 4,AMOL Epilogue,NA,NA,NA,NA,TEOTW 1,NA,NA,Blue,NA,White,6'0 or about 183 cm,Warder,NA,NA,NA,NA,NA,NA,NA
Nicoli Merseneos den Ballin,Illianer,Dead,Male,NA,NA,NA,NA,King of Illian,King,NA,TDR 42,TDR 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metalan,Aiel,Unknown,Male,NA,NA,NA,NA,NA,NA,NA,TOM 48,NA,NA,NA,NA,NA,Tall,Unknown occupation,Unknown clan,Unknown sept,NA,NA,NA,NA,NA
Metwyn,Cairhienin,Alive,Male,Slender,ACOS 38,KOD 26,Band of the Red Hand,NA,Redarm,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Aldin Miheres,Unknown nationality,Dead,Male,NA,KOD 13,KOD 13,Arymilla Marne,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Mercenary,NA,NA,NA,NA,NA,NA,NA
Mikel of the Pure Heart,Unknown nationality,Bound to the Wheel,Male,NA,TGH 47,NA,Horn of Valere,NA,Hero of the Horn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soran Milo,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TSR 22,TSR 22,NA,NA,NA,NA,NA,Author,NA,NA,NA,NA,NA,NA,NA
Mintel,Sharan,Dead,Male,NA,River of Souls,AMOL 37,Bao the Wyld,NA,Abrishi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kennar Miraj,Seanchan,Dead,Male,NA,TPOD 24,NA,NA,NA,Captain-General,1000 NE,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Mishael,Atha'an Miere,Alive,Male,NA,NA,NA,Atha'an Miere,NA,NA,NA,WH 23,WH 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakayar Mishima,Seanchan,Dead,Male,NA,KOD 4,TGS Prologue,NA,NA,Captain,1000 NE,NA,NA,NA,NA,NA,Yellow,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Atal Mishraile,Unknown nationality,Alive,Male,NA,COT Prologue,AMOL 42,The Shadow,NA,Asha'man,NA,WH Prologue,NA,NA,Blue,NA,"Golden, long",Tall,Dreadlord,NA,NA,NA,NA,NA,NA,NA
Beslan Mitsobar,Altaran,Alive,Male,NA,LOC 48,AMOL 37,NA,"King of Altara, Master of the Four Winds, Guardian of the Sea of Storms, High Seat of House Mitsobar",King,NA,NA,NA,NA,Black,NA,"Black, long","5'10""",NA,NA,NA,NA,Slender,NA,NA,NA
Fen Mizar,Saldaean,Alive,Male,Compact,WH 29,TOM 9,White Tower,Gaidin,NA,NA,ACOS 17,NA,NA,"Dark, tilted",NA,"Black, shoulder length",NA,Warder,NA,NA,NA,NA,NA,NA,NA
Moad din Nopara Red Hawk,Atha'an Miere,Alive,Male,NA,ACOS 34,WH 35,Atha'an Miere,NA,Swordmaster,NA,NA,NA,NA,Hard,NA,Gray,"5'10"" or 178 cm",NA,NA,NA,NA,NA,NA,NA,NA
Hal Moir,Unknown nationality,Alive,Male,NA,LOC Prologue,TGS 13,Younglings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Jaric Mondoran,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,Aes Sedai (Age of Legends),NA,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luthair Paendrag Mondwin,Seanchan,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TGH 34,NA,FY 967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moor,Unknown nationality,Alive,Male,NA,NA,NA,NA,NA,NA,NA,TOM 1,TOM 1,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Almurat Mor,Seanchan,Alive,Male,Slender,TSR 38,COT 4,NA,NA,NA,NA,NA,KOD 36,NA,Blue,NA,Pale yellow,NA,Seeker for Truth,NA,NA,NA,NA,NA,NA,NA
Mord,Domani,Alive,Male,NA,NA,NA,NA,NA,NA,NA,TGS 32,TGS 32,NA,NA,NA,NA,NA,Questioner,NA,NA,NA,NA,NA,NA,NA
Mordeth,NA,Dead,Male,NA,TEOTW 19,AMOL 47,NA,NA,NA,NA,NA,AMOL Epilogue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morear,Andoran,NA,Male,NA,AMOL Prologue,AMOL Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Morel,NA,Dead,Male,NA,NA,NA,NA,NA,NA,NA,LOC 20,LOC 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA
Moridin,NA,Dead,Male,Broad-shouldered,ACOS 20,AMOL Epilogue,NA,NA,Nae'blis,NA,NA,NA,NA,"Blue, black flecked",NA,Black,"Very tall/ 6 feet 5, as tall as Rand",NA,NA,NA,NA,NA,NA,NA,NA
Fedwin Morr,Andoran,Dead,Male,Stocky,LOC 3,TPOD 29,The Dragon Reborn,NA,Asha'man,1000 NE,NA,NA,984 NE,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA
Moshea,Tuatha'an,Alive,Male,NA,NA,NA,NA,NA,NA,NA,TSR 41,TSR 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mosk the Giant,NA,Fictional character,Male,NA,NA,NA,NA,Mosk the Giant,NA,NA,TEOTW 4,TSR 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muadh,Unknown nationality,Dead,Male,NA,TGH 29,TGH 29,Children of the Light,NA,NA,999 NE,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Leuese Mulan,Tairen,Alive,Male,NA,NA,NA,NA,NA,NA,NA,TDR 48,TDR 48,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Alpert Mull,Andoran,Alive,Male,Solid,TEOTW 33,TOM 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Muradin,Aiel,Dead,Male,NA,TSR 25,NA,NA,NA,NA,999 NE,TSR 23,NA,NA,NA,NA,NA,NA,NA,Shaido,Unknown sept,Unknown society,NA,NA,NA,NA
Murdoc,Seanchan,Alive,Male,NA,NA,NA,NA,NA,Officer,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murel,Seanchan,Alive,Male,Lean,KOD 7,KOD 7,NA,NA,NA,NA,NA,NA,NA,Tilted,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Murellin,NA,Alive,Male,Hulking,TPOD 28,COT 15,Darkfriend,NA,NA,NA,NA,KOD 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Musar,Saldaean,Alive,Male,NA,LOC 2,LOC 2,NA,Noble,Lord,NA,LOC 2,LOC 2,NA,Tilted dark,NA,NA,Short,NA,NA,NA,NA,NA,NA,NA,NA
Musenge,Seanchan,Alive,Male,Stocky,WH 14,AMOL 17,NA,NA,Captain,NA,NA,NA,NA,NA,NA,NA,NA,Deathwatch Guard,NA,NA,NA,NA,NA,NA,NA
Musicar,Seanchan,Alive,Male,NA,AMOL 17,AMOL 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deathwatch Guard,NA,NA,NA,NA,NA,NA,NA
Mutch,Andoran,Alive,Male,Wiry,TEOTW 13,TEOTW 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stableman,NA,NA,NA,NA,NA,NA,NA
Reo Myershi,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,NA,NA,TOM 51,TOM 51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myk,Unknown nationality,Unknown,Male,NA,AMOL 37,AMOL 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Naath,Unknown nationality,Dead,Male,NA,NA,NA,NA,NA,NA,NA,AMOL 36,AMOL 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hirare Nachiman,Arafel,Dead,Male,NA,NA,NA,NA,Lord,Noble,976 NE,NA,NA,NA,NA,NA,NA,NA,General,NA,NA,NA,NA,NA,NA,NA
Paitar Nachiman,Arafellin,Alive,Male,NA,TPOD Prologue,AMOL 6,Arafel,King of Arafel,King,NA,ACOS 2,AMOL 9,937 NE,NA,NA,Graying,"6'2"" - 6'3""",NA,NA,NA,NA,NA,NA,NA,NA
Nad,Altaran,Alive,Male,Muscular,ACOS 17,ACOS 17,Darkfriend,NA,NA,NA,NA,NA,NA,Beady,NA,Black,NA,Thug,NA,NA,NA,NA,NA,NA,NA
Nadoc,Seanchan,Alive,Male,Big,TPOD 23,TPOD 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nadric,Aiel,Alive,Male,Thick,COT 9,COT 9,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very tall,NA,Shaido,Unknown sept,Unknown society,NA,NA,NA,NA
Naeff,Andoran,Alive,Male,Lean,TGS 1,AMOL 37,Dragon Reborn,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Mikhel Najirah,Seanchan,Alive,Male,Lanky,KOD Prologue,KOD Prologue,NA,NA,Banner-General,NA,NA,NA,NA,NA,NA,Graying,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arlen Nalaam,Domani,Dead,Male,NA,TPOD 23,AMOL 4,Black Tower,NA,Soldier (Asha'man),NA,NA,AMOL 8,971 NE,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA
Aranvor Naldwinn,Andoran,Dead,Male,NA,NA,NA,Queen's Guard,NA,Captain-General,978 NE,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haster Nalmat,Saldaea,Alive,Male,NA,TGS 32,TGS 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Nangu,Shienaran,Dead,Male,NA,NA,NA,Masema Dagar,NA,NA,1000 NE,TFOH 38,TFOH 38,NA,NA,NA,Shaven bald,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiron Narettin den Sovar,Illianer,Alive,Male,NA,TPOD 21,TPOD 21,Council of Nine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nashif,Unknown nationality,NA,Male,NA,NA,NA,NA,NA,General,NA,TSR 34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahran Nawaz,Domani,Dead,Male,NA,NA,NA,Artur Hawkwing,Lord,NA,NA,The Wheel of Time Companion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalaam Lazari,Domani,Dead,Male,NA,NA,NA,Artur Hawkwing,Lord,NA,NA,The Wheel of Time Companion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nazran,Domani,Alive,Male,Square,TPOD 12,TPOD 12,NA,NA,NA,NA,NA,NA,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fager Neald,Murandian,Alive,Male,NA,ACOS 2,AMOL 13,Perrin Aybara,NA,Soldier (Asha'man),NA,NA,AMOL 14,NA,NA,NA,NA,NA,Asha'man,NA,NA,NA,NA,NA,NA,NA
Blaeric Negina,Shienaran,Alive,Male,NA,WH 29,TOM 9,White Tower,Gaidin,NA,NA,ACOS 17,NA,NA,Blue,NA,"Black, topknot",Tall,Warder,NA,NA,NA,NA,NA,NA,NA
Admer Nem,Andoran,Alive,Male,Stout,TFOH 1,TFOH 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lank and thinning,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Nengar,Shienaran,Dead,Male,NA,COT 7,COT 7,Masema Dagar,NA,NA,1000 NE,TFOH 38,KOD 29,NA,NA,NA,Shaven bald,"5'11""",NA,NA,NA,NA,NA,NA,NA,NA
Varil Nensen,Taraboner,Alive,Male,NA,TPOD 23,TPOD 23,Darkfriend,NA,Asha'man,NA,NA,AMOL 37,NA,NA,NA,NA,NA,Dreadlord,NA,NA,NA,NA,NA,NA,NA
Agni Neres,Altaran,Alive,Male,Bony,TFOH 48,TFOH 49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tall,Ship captain,NA,NA,NA,NA,NA,NA,NA
Nerim,Cairhienin,Alive,Male,Skinny,LOC 22,KOD 26,Band of the Red Hand,NA,NA,NA,NA,NA,NA,NA,NA,Gray,Short,Servant,NA,NA,NA,NA,NA,NA,NA
Gwil Nermasiv,Kandori,Unknown,Male,NA,NA,NA,NA,NA,NA,NA,TFOH 49,NA,NA,NA,NA,NA,NA,Hunter of the Horn,NA,NA,NA,NA,NA,NA,NA
Ershin Netari,Illianer,Alive,Male,NA,NA,NA,Dragon Reborn,Lord,NA,NA,TPOD 24,TPOD 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nethan Conwy,Andoran,Alive,Male,"Lean, muscular",WH 23,TGS 7,White Tower,Gaidin,NA,NA,NA,NA,NA,Piercing blue,NA,Dark with white wings at temples,"6'1"" or 185cm",Warder,NA,NA,NA,NA,NA,NA,NA
Tal Nethin,Cairhienin,Dead,Male,NA,TFOH 20,TFOH 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saddlemaker,NA,NA,NA,NA,NA,NA,NA
Nevin,Altaran,Dead,Male,NA,ACOS 16,NA,NA,NA,NA,NA,NA,ACOS 16,NA,NA,NA,NA,NA,Unknown occupation,NA,NA,NA,NA,NA,NA,NA
Niagen,Aiel,Alive,Male,NA,TOM 43,TOM 43,Shaido,NA,NA,NA,TGS 21,NA,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Mera'din,NA,NA,NA,NA
