variable,value,name
Society,Rahien Sorei,Hehyal
Nationality,Aiel,Heirn
Current status,Alive,Heirn
Gender,Male,Heirn
Height,Tall,Heirn
Build,Slender,Heirn
First appeared,TSR 23,Heirn
Last appeared,TGS 3,Heirn
Affiliation,Car'a'carn,Heirn
Rank,Sept chief,Heirn
Clan,Taardad,Heirn
Sept,Jindo,Heirn
Society,Tain Shari,Heirn
Nationality,Domani,Helmke
Current status,Alive,Helmke
Gender,Male,Helmke
Build,Long-limbed,Helmke
First appeared,TOM 21,Helmke
Last appeared,TOM 21,Helmke
Affiliation,Dragon Reborn,Helmke
Occupation,Soldier,Helmke
Nationality,Unknown nationality,Hend the Striker
Current status,Bound to the Wheel,Hend the Striker
Gender,Male,Hend the Striker
Build,Large,Hend the Striker
First appeared,AMOL 39,Hend the Striker
Last appeared,AMOL 43,Hend the Striker
Affiliation,Horn of Valere,Hend the Striker
Rank,Hero of the Horn,Hend the Striker
Nationality,Andoran,Henren
Current status,Alive,Henren
Gender,Male,Henren
Build,Blocky,Henren
Hair,Bald,Henren
First appeared,LOC 1,Henren
Last appeared,LOC 2,Henren
Affiliation,Dragon Reborn,Henren
Title,Lord,Henren
Nationality,Andoran,Jakob Hernvil
Current status,Alive,Jakob Hernvil
Gender,Male,Jakob Hernvil
Height,Short,Jakob Hernvil
Build,Lean,Jakob Hernvil
First appeared,KOD 17,Jakob Hernvil
Last appeared,KOD 17,Jakob Hernvil
Affiliation,House Marne,Jakob Hernvil
Occupation,Secretary,Jakob Hernvil
Nationality,Ghealdanin,Herod
Current status,Alive,Herod
Gender,Male,Herod
First appeared,TDR 8,Herod
Last appeared,TDR 8,Herod
Occupation,Innkeeper,Herod
Nationality,Andoran,Hightower
Current status,Alive,Hightower
Gender,Male,Hightower
First mentioned,TEOTW 11,Hightower
First appeared,TEOTW 11,Hightower
Last mentioned,TEOTW 15,Hightower
Affiliation,Two Rivers,Hightower
Occupation,Ferrymaster,Hightower
Nationality,Ghealdanin,Hirshanin
Current status,Alive,Hirshanin
Gender,Male,Hirshanin
First appeared,TOM 40,Hirshanin
Last appeared,TOM 40,Hirshanin
Affiliation,Perrin Aybara,Hirshanin
Occupation,Soldier,Hirshanin
Nationality,Andoran,Hoffley
Current status,Alive,Hoffley
Gender,Male,Hoffley
First mentioned,KOD 26,Hoffley
Occupation,Banker,Hoffley
Nationality,Unknown nationality,Sarin Hoigan
Current status,Alive,Sarin Hoigan
Gender,Male,Sarin Hoigan
Height,"5'9"" or 175cm",Sarin Hoigan
Build,Very Wide,Sarin Hoigan
Hair,Bald,Sarin Hoigan
First appeared,TFOH 50,Sarin Hoigan
Last appeared,KOD 23,Sarin Hoigan
Affiliation,White Tower,Sarin Hoigan
Occupation,Warder,Sarin Hoigan
Title,Gaidin,Sarin Hoigan
Current status,Alive,Holcom
Gender,Male,Holcom
First appeared,AMOL 27,Holcom
Last appeared,AMOL 27,Holcom
Affiliation,White Tower,Holcom
Occupation,Tower Guard,Holcom
Nationality,Andoran,Raimun Holdwin
Current status,Alive,Raimun Holdwin
Gender,Male,Raimun Holdwin
First appeared,TEOTW 34,Raimun Holdwin
Last appeared,TEOTW 34,Raimun Holdwin
Last mentioned,TEOTW 35,Raimun Holdwin
Affiliation,Darkfriend,Raimun Holdwin
Occupation,Innkeeper,Raimun Holdwin
Nationality,Andoran,Eben Hopwil
Date of birth,984 NE,Eben Hopwil
Date of death,1000 NE,Eben Hopwil
Current status,Dead,Eben Hopwil
Gender,Male,Eben Hopwil
Build,Skinny,Eben Hopwil
First appeared,LOC 3,Eben Hopwil
Last appeared,WH 35,Eben Hopwil
Last mentioned,TGS 7,Eben Hopwil
Affiliation,The Dragon Reborn,Eben Hopwil
Occupation,Asha'man,Eben Hopwil
Rank,Asha'man,Eben Hopwil
Nationality,Andoran,Hornwell
Current status,Alive,Hornwell
Gender,Male,Hornwell
Hair,Gray,Hornwell
First appeared,TPOD 20,Hornwell
Last appeared,TPOD 20,Hornwell
Last mentioned,TPOD 20,Hornwell
Affiliation,Morgase Trakand,Hornwell
Occupation,Shambayan,Hornwell
Nationality,Seanchan,Huan (Seanchan)
Date of death,998 NE,Huan (Seanchan)
Current status,Dead,Huan (Seanchan)
Gender,Male,Huan (Seanchan)
Hair,"Pale golden, shoulder length braid",Huan (Seanchan)
First appeared,TGH 29,Huan (Seanchan)
Last appeared,TGH 34,Huan (Seanchan)
Last mentioned,TGH 45,Huan (Seanchan)
Rank,So'jhin,Huan (Seanchan)
Nationality,Tairen,Huan (Tairen)
Current status,Dead,Huan (Tairen)
Gender,Male,Huan (Tairen)
First mentioned,NS 6,Huan (Tairen)
Last mentioned,TDR 20,Huan (Tairen)
Nationality,Andoran,Kely Huldin
Current status,Alive,Kely Huldin
Gender,Male,Kely Huldin
First mentioned,LOC 3,Kely Huldin
First appeared,LOC 3,Kely Huldin
Last appeared,LOC 3,Kely Huldin
Last mentioned,LOC 3,Kely Huldin
Occupation,Weaver,Kely Huldin
Nationality,Altaran,Hurd
Current status,Alive,Hurd
Gender,Male,Hurd
Build,Squat,Hurd
Hair,Almost bald,Hurd
First appeared,KOD 6,Hurd
Last appeared,KOD 6,Hurd
Occupation,Stableman,Hurd
Nationality,Shienaran,Hurin
Date of death,1000 NE,Hurin
Current status,Dead,Hurin
Gender,Male,Hurin
Height,"5'10""",Hurin
Build,Lean,Hurin
Hair,"Graying, long",Hurin
First appeared,TGH 9,Hurin
Last appeared,AMOL 37,Hurin
Occupation,Sniffer,Hurin
Nationality,Andoran,Rowan Hurn
Current status,Alive,Rowan Hurn
Gender,Male,Rowan Hurn
First appeared,TEOTW 2,Rowan Hurn
Last appeared,TOM 34,Rowan Hurn
Affiliation,Perrin Aybara,Rowan Hurn
Title,Village Councilor,Rowan Hurn
Nationality,Shienaran,Ianor
Current status,Alive,Ianor
Gender,Male,Ianor
Hair,Topknot,Ianor
First appeared,TOM 23,Ianor
Last appeared,TOM 23,Ianor
Affiliation,Lan Mandragoran,Ianor
Occupation,Soldier,Ianor
Nationality,Unknown nationality,Ihvon
Current status,Presumed dead,Ihvon
Gender,Male,Ihvon
Height,Tall,Ihvon
Weight,Slender,Ihvon
First appeared,TGH 2,Ihvon
Last appeared,WH 23,Ihvon
Occupation,Warder,Ihvon
Nationality,Aiel,Indirian
Current status,Alive,Indirian
Gender,Male,Indirian
Height,Average,Indirian
Build,Gaunt,Indirian
Eyes,Emerald,Indirian
First mentioned,TFOH 2,Indirian
First appeared,LOC 24,Indirian
Last appeared,ACOS 18,Indirian
Affiliation,Car'a'carn,Indirian
Occupation,Clan chief,Indirian
Clan,Codarra,Indirian
Sept,Chane Rocks,Indirian
Nationality,Andoran,Inlow
Current status,Alive,Inlow
Gender,Male,Inlow
First mentioned,TEOTW 33,Inlow
Last mentioned,TEOTW 33,Inlow
Occupation,Innkeeper,Inlow
Nationality,Domani,Iralin
Current status,Alive,Iralin
Gender,Male,Iralin
Height,Tall,Iralin
Build,Willowy,Iralin
First appeared,TGS 42,Iralin
Last appeared,TOM 25,Iralin
Affiliation,Council of Merchants,Iralin
Occupation,Merchant,Iralin
Date of birth,Age of Legends,Ishamael
Date of death,999 NE,Ishamael
Current status,Dead,Ishamael
Gender,Male,Ishamael
Height,Tall,Ishamael
Hair,Black,Ishamael
Eyes,Fiery,Ishamael
First appeared,TEOTW Prologue,Ishamael
Last appeared,TDR 56,Ishamael
Last mentioned,AMOL 25,Ishamael
Title,Ba'alzamon,Ishamael
Rank,Chosen,Ishamael
Nationality,Kandori,Ismic
Current status,Alive,Ismic
Gender,Male,Ismic
First mentioned,TPOD Prologue,Ismic
Last mentioned,TPOD Prologue,Ismic
Title,Lord,Ismic
Rank,Lord,Ismic
Nationality,Domani,Rodel Ituralde
Current status,Alive,Rodel Ituralde
Gender,Male,Rodel Ituralde
Height,Short,Rodel Ituralde
First mentioned,TFOH 27,Rodel Ituralde
First appeared,COT Prologue,Rodel Ituralde
Last appeared,AMOL Epilogue,Rodel Ituralde
Affiliation,Arad Doman,Rodel Ituralde
Title,Five Great Captains,Rodel Ituralde
Rank,King,Rodel Ituralde
Nationality,Unknown nationality,Ivon
Current status,Alive,Ivon
Gender,Male,Ivon
First appeared,TSR 1,Ivon
Last appeared,TSR 1,Ivon
Affiliation,Children of the Light,Ivon
Occupation,Soldier,Ivon
Nationality,Cairhienin,Ivon (blacksmith)
Current status,Alive,Ivon (blacksmith)
Gender,Male,Ivon (blacksmith)
First mentioned,TGH 26,Ivon (blacksmith)
Last mentioned,TGH 26,Ivon (blacksmith)
Occupation,Blacksmith,Ivon (blacksmith)
Nationality,Seanchan,Jadranka
Date of death,1000 NE,Jadranka
Current status,Dead,Jadranka
Gender,Male,Jadranka
Height,Short,Jadranka
Build,Thin,Jadranka
First appeared,TPOD 23,Jadranka
Last appeared,TPOD 23,Jadranka
Nationality,Unknown nationality,Jaem
Date of birth,922 NE[1],Jaem
Date of death,1000 NE,Jaem
Current status,Dead,Jaem
Gender,Male,Jaem
Build,Wiry,Jaem
First appeared,TGH 22,Jaem
Last appeared,KOD 32,Jaem
Affiliation,Rebel Aes Sedai,Jaem
Occupation,Warder,Jaem
Title,Gaidin,Jaem
Current status,Fictional character,Jaem the Giant-Slayer
Gender,Male,Jaem the Giant-Slayer
First mentioned,TEOTW 4,Jaem the Giant-Slayer
Title,Jaem the Giant-Slayer,Jaem the Giant-Slayer
Nationality,Shienar,Agelmar Jagad
Current status,Alive,Agelmar Jagad
Gender,Male,Agelmar Jagad
Hair,Pure white topknot,Agelmar Jagad
Eyes,Brown,Agelmar Jagad
First appeared,TEOTW 46,Agelmar Jagad
Last appeared,AMOL 29,Agelmar Jagad
Last mentioned,AMOL 32,Agelmar Jagad
Title,Lord of Fal Dara,Agelmar Jagad
Rank,General,Agelmar Jagad
Nationality,Arafellin,Jahar Narishma
Date of birth,977 NE,Jahar Narishma
Current status,Alive,Jahar Narishma
Gender,Male,Jahar Narishma
Hair,"Dark, in long braids",Jahar Narishma
Eyes,Dark,Jahar Narishma
First mentioned,LOC 28,Jahar Narishma
First appeared,LOC 42,Jahar Narishma
Last appeared,AMOL 39,Jahar Narishma
Affiliation,The Dragon Reborn,Jahar Narishma
Occupation,Warder,Jahar Narishma
Rank,Asha'man,Jahar Narishma
Nationality,Unknown nationality,Jaim (soldier)
Current status,Alive,Jaim (soldier)
Gender,Male,Jaim (soldier)
Hair,Gray,Jaim (soldier)
First appeared,NS 1,Jaim (soldier)
Last appeared,NS 1,Jaim (soldier)
Affiliation,Lan Mandragoran,Jaim (soldier)
Occupation,Soldier,Jaim (soldier)
Nationality,Andoran,Jak
Current status,Dead,Jak
Gender,Male,Jak
Build,Big,Jak
First appeared,TEOTW 32,Jak
Last appeared,TEOTW 32,Jak
Occupation,Bouncer,Jak
Current status,Dead,Jalanda (Ogier)
Race,Ogier,Jalanda (Ogier)
Gender,Male,Jalanda (Ogier)
First mentioned,TDR 50,Jalanda (Ogier)
Last mentioned,TDR 50,Jalanda (Ogier)
Occupation,Historian,Jalanda (Ogier)
Nationality,Seanchan,Jame
Current status,Alive,Jame
Gender,Male,Jame
First appeared,AMOL 11,Jame
Last appeared,AMOL 11,Jame
Occupation,Bouncer,Jame
Nationality,Malkieri,Shevar Jamelle
Current status,Dead,Shevar Jamelle
Gender,Male,Shevar Jamelle
First mentioned,TWORJTWOT,Shevar Jamelle
Last mentioned,TWORJTWOT,Shevar Jamelle
Title,King of Malkier,Shevar Jamelle
Rank,King,Shevar Jamelle
Nationality,Aiel,Janduin (father)
Date of death,979 NE,Janduin (father)
Current status,Dead,Janduin (father)
Gender,Male,Janduin (father)
First mentioned,TSR 34,Janduin (father)
Last mentioned,AMOL 9,Janduin (father)
Occupation,Clan chief,Janduin (father)
Clan,Taardad,Janduin (father)
Sept,Iron Mountain,Janduin (father)
Nationality,Aiel,Janduin (son)
Current status,Foreseen,Janduin (son)
Gender,Male,Janduin (son)
Height,Tall,Janduin (son)
Hair,Blond,Janduin (son)
First appeared,TOM 49,Janduin (son)
Last appeared,TOM 49,Janduin (son)
Title,Child of the Dragon,Janduin (son)
Nationality,Andoran,Kelwin Janevor
Current status,Alive,Kelwin Janevor
Gender,Male,Kelwin Janevor
Build,Wiry,Kelwin Janevor
First appeared,KOD 17,Kelwin Janevor
Last appeared,KOD 32,Kelwin Janevor
Affiliation,House Trakand,Kelwin Janevor
Title,Lord,Kelwin Janevor
Nationality,Aiel,Janwin
Current status,Alive,Janwin
Gender,Male,Janwin
Hair,Gray,Janwin
Eyes,Blue-gray,Janwin
First mentioned,TFOH 2,Janwin
First appeared,ACOS 18,Janwin
Last appeared,ACOS 18,Janwin
Affiliation,Car'a'carn,Janwin
Occupation,Clan chief,Janwin
Clan,Shiande,Janwin
Sept,Degalle,Janwin
Nationality,Aiel,Jaren
Current status,Dead,Jaren
Gender,Male,Jaren
First mentioned,TSR 26,Jaren
Last mentioned,TSR 26,Jaren
Clan,Da'shain Aiel,Jaren
Nationality,Kandori,Jargen
Date of death,1000 NE,Jargen
Current status,Dead,Jargen
Gender,Male,Jargen
Hair,"Black, graying",Jargen
First appeared,TOM Prologue,Jargen
Last appeared,TOM Prologue,Jargen
Affiliation,Kandor,Jargen
Occupation,Soldier,Jargen
Rank,Sergeant,Jargen
Nationality,Amadician,Jaril
Current status,Alive,Jaril
Gender,Male,Jaril
First appeared,TFOH 49,Jaril
Last appeared,LOC 12,Jaril
Last mentioned,LOC 13,Jaril
Nationality,Unknown nationality,Jarr
Current status,Alive,Jarr
Gender,Male,Jarr
First appeared,TOM 2,Jarr
Last appeared,TOM 2,Jarr
Affiliation,Perrin Aybara,Jarr
Occupation,Mercenary,Jarr
Nationality,Unknown nationality,Jearom
Current status,Dead,Jearom
Gender,Male,Jearom
First mentioned,TDR 24,Jearom
Last mentioned,LOC 1,Jearom
Occupation,Blademaster,Jearom
Nationality,Altaran,Jen
Current status,Alive,Jen
Gender,Male,Jen
First appeared,ACOS 16,Jen
Last mentioned,ACOS 16,Jen
Occupation,Servant,Jen
Nationality,Aiel,Jenric
Current status,Alive,Jenric
Gender,Male,Jenric
Build,Massive,Jenric
First appeared,TFOH 3,Jenric
Last appeared,TFOH 3,Jenric
Affiliation,Car'a'carn,Jenric
Clan,Unknown clan,Jenric
Sept,Unknown sept,Jenric
Society,Unknown society,Jenric
Nationality,Almoth Plain,Poul Jens
Gender,Male,Poul Jens
First mentioned,The Wheel of Time Roleplaying Game,Poul Jens
Occupation,Blacksmith,Poul Jens
Title,Village Councilor,Poul Jens
Nationality,Aiel,Jeordam
Current status,Dead,Jeordam
Gender,Male,Jeordam
First appeared,TSR 25,Jeordam
Last appeared,TSR 25,Jeordam
Clan,Aiel,Jeordam
Nationality,Andoran,Jer al'Hune
Current status,Alive,Jer al'Hune
Gender,Male,Jer al'Hune
Last mentioned,AMOL 31,Jer al'Hune
Affiliation,Two Rivers,Jer al'Hune
Nationality,Unknown nationality,Jeral
Current status,Alive,Jeral
Gender,Male,Jeral
First appeared,TGH 29,Jeral
Last appeared,TGH 29,Jeral
Affiliation,Children of the Light,Jeral
Occupation,Soldier,Jeral
Nationality,Cairhien,Jerasid
Current status,Alive,Jerasid
Gender,Male,Jerasid
Build,Broad and stocky,Jerasid
First appeared,TPOD 9,Jerasid
Last appeared,TPOD 9,Jerasid
Last mentioned,TGS 21,Jerasid
Affiliation,Perrin Aybara,Jerasid
Occupation,Farrier,Jerasid
Nationality,Unknown nationality,Jerum Nus
Current status,Alive,Jerum Nus
Gender,Male,Jerum Nus
First appeared,TOM 43,Jerum Nus
Last appeared,TOM 43,Jerum Nus
Affiliation,Children of the Light,Jerum Nus
Occupation,Soldier,Jerum Nus
Nationality,Aiel,Jheran
Current status,Alive,Jheran
Gender,Male,Jheran
Build,Slender,Jheran
Hair,"Graying, brown",Jheran
First mentioned,TSR 28,Jheran
First appeared,TSR 57,Jheran
Last appeared,AMOL 6,Jheran
Affiliation,Car'a'carn,Jheran
Occupation,Clan chief,Jheran
Clan,Shaarad,Jheran
Nationality,Aiel,Jhoradin
Date of death,1000 NE,Jhoradin
Current status,Dead,Jhoradin
Gender,Male,Jhoradin
Build,Squat,Jhoradin
Hair,Red-golden,Jhoradin
Eyes,Blue,Jhoradin
First appeared,TPOD 30,Jhoradin
Last appeared,KOD 30,Jhoradin
Last mentioned,TGS 21,Jhoradin
Affiliation,Sevanna,Jhoradin
Clan,Unknown clan,Jhoradin
Sept,Unknown sept,Jhoradin
Society,Mera'din,Jhoradin
Nationality,Saldaean,Jidar
Current status,Alive,Jidar
Gender,Male,Jidar
First appeared,LOC 45,Jidar
Last appeared,LOC 45,Jidar
Occupation,Soldier,Jidar
Nationality,Shienaran,Joao
Current status,Alive,Joao
Gender,Male,Joao
First appeared,TOM 23,Joao
Last appeared,TOM 23,Joao
Affiliation,Lan Mandragoran,Joao
Occupation,Soldier,Joao
Nationality,Unknown nationality,Joelin
Date of death,999 NE,Joelin
Current status,Dead,Joelin
Gender,Male,Joelin
First mentioned,TSR 31,Joelin
Last mentioned,TSR 31,Joelin
Affiliation,Children of the Light,Joelin
Occupation,Soldier,Joelin
Nationality,Ghealdanin,Johanin
Date of death,999 NE,Johanin
Current status,Dead,Johanin
Gender,Male,Johanin
First mentioned,TFOH 39,Johanin
Last mentioned,KOD 18,Johanin
Affiliation,Ghealdan,Johanin
Title,King of Ghealdan,Johanin
Rank,King,Johanin
Nationality,Unknown nationality,Jom
Current status,Dead,Jom
Gender,Male,Jom
First appeared,TSR 26,Jom
Last appeared,TSR 26,Jom
Nationality,Ghealdanin,Jon (blacksmith)
Current status,Alive,Jon (blacksmith)
Gender,Male,Jon (blacksmith)
First mentioned,TDR 8,Jon (blacksmith)
Last mentioned,TDR 8,Jon (blacksmith)
Occupation,Blacksmith,Jon (blacksmith)
Current status,Dead,Jonai
Gender,Male,Jonai
First appeared,TSR 26,Jonai
Last appeared,TSR 26,Jonai
Clan,Da'shain Aiel,Jonai
Nationality,Malkieri,Jophil
Current status,Alive,Jophil
Gender,Male,Jophil
First appeared,AMOL 6,Jophil
Last appeared,AMOL 6,Jophil
Nationality,Domani,Jorgin
Current status,Alive,Jorgin
Gender,Male,Jorgin
First mentioned,TGS 32,Jorgin
Last mentioned,TGS 32,Jorgin
Occupation,Questioner,Jorgin
Nationality,Cairhienin,Jori
Current status,Alive,Jori
Gender,Male,Jori
Height,Short,Jori
Build,Very Wide,Jori
Hair,Bald,Jori
First appeared,LOC 29,Jori
Last appeared,KOD 1,Jori
Affiliation,White Tower,Jori
Occupation,Warder,Jori
Title,Gaidin,Jori
Nationality,Aiel,Jorshem
Current status,Unknown,Jorshem
Gender,Male,Jorshem
Height,Tall,Jorshem
First mentioned,TOM 49,Jorshem
Occupation,Clan chief,Jorshem
Clan,Unknown clan,Jorshem
Sept,Unknown sept,Jorshem
Nationality,Unknown nationality,Jovarin
Current status,Alive,Jovarin
Gender,Male,Jovarin
First mentioned,TSR 47,Jovarin
Last mentioned,TSR 47,Jovarin
Occupation,Mason,Jovarin
Nationality,Andoran,Jowdry
Date of death,1000 NE,Jowdry
Current status,Dead,Jowdry
Gender,Male,Jowdry
First mentioned,TOM 8,Jowdry
Last mentioned,TOM 8,Jowdry
Nationality,Sea Folk,Uren din Jubai Soaring Gull
Current status,Dead,Uren din Jubai Soaring Gull
Gender,Male,Uren din Jubai Soaring Gull
First mentioned,LOC Glossary,Uren din Jubai Soaring Gull
Last mentioned,TOM Glossary,Uren din Jubai Soaring Gull
Occupation,Scholar,Uren din Jubai Soaring Gull
Current status,Alive,Juin
Race,Ogier,Juin
Gender,Male,Juin
First appeared,TGH 35,Juin
Last appeared,TGH 37,Juin
Nationality,Aiel,Juranai
Current status,Alive,Juranai
Gender,Male,Juranai
Hair,"Brown, streaked with white",Juranai
First appeared,TFOH 41,Juranai
Last appeared,TFOH 41,Juranai
Affiliation,Car'a'carn,Juranai
Clan,Unknown clan,Juranai
Sept,Unknown sept,Juranai
Society,Aethan Dor,Juranai
Nationality,Aiel,Juric
Current status,Alive,Juric
Gender,Male,Juric
Last mentioned,LOC 15,Juric
Affiliation,Bair,Juric
Occupation,Gai'shain,Juric
Clan,Unknown clan,Juric
Sept,Unknown sept,Juric
Society,Unknown society,Juric
Nationality,Saldaean,Hadnan Kadere
Date of death,999 NE,Hadnan Kadere
Current status,Dead,Hadnan Kadere
Gender,Male,Hadnan Kadere
Weight,Very Heavy (All muscle),Hadnan Kadere
Eyes,Dark,Hadnan Kadere
First appeared,TSR 36,Hadnan Kadere
Last appeared,TFOH 52,Hadnan Kadere
Last mentioned,TFOH 54,Hadnan Kadere
Affiliation,Darkfriend,Hadnan Kadere
Occupation,Peddler,Hadnan Kadere
Nationality,Arafellin,Welyn Kajima
Current status,Alive,Welyn Kajima
Gender,Male,Welyn Kajima
Hair,"Black, braided",Welyn Kajima
First appeared,TPOD 26,Welyn Kajima
Last appeared,AMOL 8,Welyn Kajima
Affiliation,The Shadow,Welyn Kajima
Occupation,Dreadlord,Welyn Kajima
Rank,Asha'man,Welyn Kajima
Nationality,Shienaran,Kajin
Current status,alive,Kajin
Gender,Male,Kajin
Height,tall,Kajin
First mentioned,TGH 6,Kajin
First appeared,TGH 8,Kajin
Last appeared,TGH 9,Kajin
Occupation,Guard,Kajin
Title,Lord,Kajin
Nationality,Andoran,Tad Kandel
Date of death,1000 NE,Tad Kandel
Current status,Dead,Tad Kandel
Gender,Male,Tad Kandel
First mentioned,LOC 47,Tad Kandel
First appeared,ACOS 38,Tad Kandel
Last appeared,ACOS 38,Tad Kandel
Affiliation,Band of the Red Hand,Tad Kandel
Occupation,Soldier,Tad Kandel
Rank,Redarm,Tad Kandel
Nationality,Domani,Kappre
Current status,Alive,Kappre
Gender,Male,Kappre
First appeared,TOM 21,Kappre
Last appeared,TOM 21,Kappre
Affiliation,Dragon Reborn,Kappre
Occupation,Soldier,Kappre
Nationality,Andoran,Karam
Gender,Male,Karam
First appeared,AMOL Prologue,Karam
Last appeared,AMOL Prologue,Karam
Occupation,Soldier,Karam
Title,Lord,Karam
Nationality,Seanchan,Furyk Karede
Date of birth,958 NE,Furyk Karede
Current status,Alive,Furyk Karede
Gender,Male,Furyk Karede
Height,Tall,Furyk Karede
First appeared,TPOD 23,Furyk Karede
Last appeared,AMOL 37,Furyk Karede
Last mentioned,AMOL Epilogue,Furyk Karede
Occupation,Deathwatch Guard,Furyk Karede
Rank,Banner-General,Furyk Karede
Nationality,Unknown nationality,Karile
Date of death,979 NE,Karile
Current status,Dead,Karile
Gender,Male,Karile
Build,Very large,Karile
Hair,"Golden, Bearded",Karile
First appeared,NS 7,Karile
Last appeared,NS 7,Karile
Occupation,Warder,Karile
Title,Gaidin,Karile
Nationality,Seanchan,Karm
Current status,Alive,Karm
Gender,Male,Karm
First appeared,TGS Prologue,Karm
Last appeared,TGS Prologue,Karm
Rank,Quartermaster,Karm
Nationality,Unknown nationality,Kash
Current status,Alive,Kash
Gender,Male,Kash
First mentioned,TOM 46,Kash
First appeared,AMOL 42,Kash
Last appeared,AMOL 42,Kash
Affiliation,The Shadow,Kash
Occupation,Asha'man,Kash
Rank,Asha'man,Kash
Nationality,Saldaean,Kashgar
Current status,Alive,Kashgar
Gender,Male,Kashgar
Build,Lean,Kashgar
First appeared,KOD Prologue,Kashgar
Last appeared,KOD Prologue,Kashgar
Affiliation,Children of the Light,Kashgar
Occupation,Soldier,Kashgar
Rank,Under-Lieutenant,Kashgar
Nationality,Arafellin,Kendral
Current status,Alive,Kendral
Gender,Male,Kendral
First mentioned,TOM 42,Kendral
Last mentioned,TOM 42,Kendral
Affiliation,Lan Mandragoran,Kendral
Rank,Prince,Kendral
Nationality,Unknown nationality,Kennit
Current status,Alive,Kennit
Gender,Male,Kennit
First mentioned,WH 10,Kennit
Last mentioned,WH 10,Kennit
Occupation,Warder,Kennit
Title,Gaidin,Kennit
Nationality,Domani,Kerb
Current status,Dead,Kerb
Gender,Male,Kerb
Build,Spindly,Kerb
Hair,Light,Kerb
First appeared,TGS 32,Kerb
Last appeared,TGS 33,Kerb
Occupation,Apprentice,Kerb
Nationality,Almoth Plain,Bretton Kilvar
Current status,Alive,Bretton Kilvar
Gender,Male,Bretton Kilvar
First mentioned,The Wheel of Time Roleplaying Game,Bretton Kilvar
Occupation,Merchant,Bretton Kilvar
Title,Mayor,Bretton Kilvar
Nationality,Almoth Plain,Lorwyn Kilvar
Current status,Alive,Lorwyn Kilvar
Gender,Male,Lorwyn Kilvar
First mentioned,The Wheel of Time Roleplaying Game,Lorwyn Kilvar
Affiliation,Ostin Falls,Lorwyn Kilvar
Nationality,Unknown nationality,Kimtin
Current status,Dead,Kimtin
Gender,Male,Kimtin
First mentioned,AMOL 37,Kimtin
Last mentioned,AMOL 37,Kimtin
Nationality,Unknown nationality,Kin (entertainer)
Current status,Alive,Kin (entertainer)
Gender,Male,Kin (entertainer)
First appeared,TFOH 17,Kin (entertainer)
Last appeared,TFOH 48,Kin (entertainer)
Affiliation,Valan Luca,Kin (entertainer)
Occupation,Entertainer,Kin (entertainer)
Nationality,Andoran,Hyam Kinch
Current status,Alive,Hyam Kinch
Gender,Male,Hyam Kinch
First appeared,TEOTW 33,Hyam Kinch
Last appeared,TEOTW 33,Hyam Kinch
Last mentioned,TEOTW 40,Hyam Kinch
Occupation,Farmer,Hyam Kinch
Nationality,Andoran,Kindlin
Current status,Alive,Kindlin
Gender,Male,Kindlin
First mentioned,KOD 13,Kindlin
Last mentioned,KOD 13,Kindlin
Affiliation,Queen's Guard,Kindlin
Occupation,Soldier,Kindlin
Rank,Captain,Kindlin
Nationality,Aiel,Kinhuin
Date of death,1000 NE,Kinhuin
Current status,Dead,Kinhuin
Gender,Male,Kinhuin
Eyes,Green,Kinhuin
First appeared,TPOD 11,Kinhuin
Last appeared,KOD 30,Kinhuin
Last mentioned,TGS 21,Kinhuin
Affiliation,Sevanna,Kinhuin
Clan,Unknown clan,Kinhuin
Sept,Unknown sept,Kinhuin
Society,Mera'din,Kinhuin
Nationality,Aramaelle,Mangore Kiramin
Current status,Dead,Mangore Kiramin
Gender,Male,Mangore Kiramin
First mentioned,ACOS Prologue,Mangore Kiramin
Last mentioned,ACOS Prologue,Mangore Kiramin
Occupation,Bard,Mangore Kiramin
Rank,Warder,Mangore Kiramin
Nationality,Ghealdanin,Kireyin
Current status,Alive,Kireyin
Gender,Male,Kireyin
Build,Lean,Kireyin
First appeared,COT 25,Kireyin
Last appeared,COT 27,Kireyin
Affiliation,Perrin Aybara,Kireyin
Occupation,Soldier,Kireyin
Title,Lord,Kireyin
Nationality,Unknown nationality,Rovair Kirklin
Current status,Alive,Rovair Kirklin
Gender,Male,Rovair Kirklin
Build,Compact,Rovair Kirklin
Hair,Dark,Rovair Kirklin
First appeared,TPOD 10,Rovair Kirklin
Last appeared,KOD 30,Rovair Kirklin
Affiliation,The Dragon Reborn,Rovair Kirklin
Occupation,Warder,Rovair Kirklin
Title,Gaidin,Rovair Kirklin
Nationality,Saldaean,Kirkun
Date of death,1000 NE,Kirkun
Current status,Dead,Kirkun
Gender,Male,Kirkun
First appeared,KOD 20,Kirkun
Last appeared,KOD 20,Kirkun
Occupation,Soldier,Kirkun
Nationality,Tairen,Raefar Kisman
Date of death,1000 NE,Raefar Kisman
Current status,Dead,Raefar Kisman
Gender,Male,Raefar Kisman
Height,Average,Raefar Kisman
First appeared,LOC 42,Raefar Kisman
Last appeared,WH 22,Raefar Kisman
Last mentioned,WH 33,Raefar Kisman
Affiliation,Darkfriend,Raefar Kisman
Occupation,Asha'man,Raefar Kisman
Rank,Asha'man,Raefar Kisman
Nationality,Unknown nationality,Kline
Current status,Presumed Dead,Kline
Gender,Male,Kline
First mentioned,AMOL 37,Kline
